Measurement Timestamp,Air Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation
05/22/2015 03:00:00 PM,13.282061592117293,55,0,0,1.4,63,1.9,2.8,993.7182625646241,780
05/22/2015 05:00:00 PM,13.282061592117293,56,0,0,1.4,124,1.5,2.3,993.7182625646241,180
05/22/2015 06:00:00 PM,13.282061592117293,54,0,0,1.4,156,1.9,3.4,993.7182625646241,127
05/22/2015 07:00:00 PM,13.282061592117293,53,0,0,1.4,150,1.4,4.5,993.7182625646241,67
05/22/2015 08:00:00 PM,13.282061592117293,52,0,0,1.4,155,1.1,2.3,993.7182625646241,10
05/22/2015 09:00:00 PM,13.282061592117293,58,0,0,1.4,175,1.3,2.5,993.7182625646241,2
05/22/2015 10:00:00 PM,13.282061592117293,58,0,0,1.4,164,1.7,3.5,993.7182625646241,3
05/22/2015 11:00:00 PM,13.282061592117293,45,0,0,1.4,155,0.7,2.3,993.7182625646241,2
05/23/2015 08:00:00 AM,13.282061592117293,32,0,0,1.4,159,2,3.5,993.7182625646241,434
05/23/2015 10:00:00 AM,13.282061592117293,42,0,0,1.4,155,2.3,3.9,993.7182625646241,799
05/23/2015 11:00:00 AM,13.282061592117293,62,0,0,1.4,85,2,2.8,993.7182625646241,850
05/23/2015 12:00:00 PM,13.282061592117293,55,0,0,1.4,109,2.5,3.8,993.7182625646241,900
05/23/2015 05:00:00 PM,13.282061592117293,43,0,0,1.4,147,2,3,993.7182625646241,53
05/23/2015 01:00:00 PM,13.282061592117293,50,0,0,1.4,137,2.2,3.3,993.7182625646241,887
05/23/2015 04:00:00 PM,13.282061592117293,45,0,0,1.4,136,2,3.5,993.7182625646241,563
05/23/2015 06:00:00 PM,13.282061592117293,40,0,0,1.4,150,1.1,3,993.7182625646241,44
05/24/2015 12:00:00 AM,13.282061592117293,33,0,0,1.4,7,1,1.4,993.7182625646241,0
05/24/2015 07:00:00 AM,13.282061592117293,55,0,0.1,1.5,193,0.4,0.8,993.7182625646241,43
05/24/2015 08:00:00 AM,13.282061592117293,68,0,1,2.5,119,0.7,1.1,993.7182625646241,59
05/24/2015 09:00:00 AM,13.282061592117293,76,0,0.1,2.5,345,0.6,1.3,993.7182625646241,120
05/24/2015 12:00:00 PM,13.282061592117293,63,0,0,2.6,145,2.3,3.5,993.7182625646241,358
05/24/2015 03:00:00 PM,13.282061592117293,70,0,0,2.6,137,1.1,3,993.7182625646241,266
05/24/2015 04:00:00 PM,13.282061592117293,73,1.2,0.4,3,147,1,3.8,993.7182625646241,40
05/24/2015 09:00:00 PM,13.282061592117293,82,0,0,11.1,148,2.4,4.3,993.7182625646241,1
05/24/2015 10:00:00 PM,13.282061592117293,84,0,0,11.1,0,1,1.9,993.7182625646241,2
05/25/2015 09:00:00 AM,13.282061592117293,69,0,0,11.1,296,2.1,5.7,993.7182625646241,251
05/25/2015 10:00:00 AM,13.282061592117293,72,0,0,11.1,9,1.2,3.1,993.7182625646241,126
05/23/2015 08:00:00 PM,13.282061592117293,41,0,0,1.4,142,1.3,3.1,993.7182625646241,6
05/23/2015 09:00:00 PM,13.282061592117293,38,0,0,1.4,134,1.5,2.5,993.7182625646241,0
05/23/2015 10:00:00 PM,13.282061592117293,44,0,0,1.4,169,1.5,2.2,993.7182625646241,0
05/23/2015 11:00:00 PM,13.282061592117293,41,0,0,1.4,118,0.8,1.2,993.7182625646241,0
05/24/2015 01:00:00 PM,13.282061592117293,65,0,0,2.6,159,1.7,3.1,993.7182625646241,226
05/25/2015 05:00:00 PM,13.282061592117293,55,0,0,12.1,81,1.1,1.9,993.7182625646241,163
05/24/2015 03:00:00 AM,13.282061592117293,39,0,0,1.4,0,0,0.8,993.7182625646241,0
05/24/2015 06:00:00 AM,13.282061592117293,64,0,0,1.4,350,0.5,1,993.7182625646241,16
05/24/2015 04:00:00 AM,13.282061592117293,40,0,0,1.4,145,0.5,0.7,993.7182625646241,0
05/24/2015 05:00:00 PM,13.282061592117293,82,7.2,5.8,8.9,47,1,1.4,993.7182625646241,47
